,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses
1,BNC-1,admit,conditional,Polly had to think quickly.,They were still close enough to shore for him to return her to the police if she admitted she was not an experienced ocean sailor.,Polly was not an experienced ocean sailor,,future,she,third,singular,conditional,BNC,no,-0.111111111,1.269295518,2,0.866025404,"2, 3, 3, 1, 3, 1, 2, 1, 2"
2,BNC-1002,say,modal,"Nevertheless, life went on as it always does. By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies.",Indeed it could be said that they had prospered.,the Kiwi Keith and the Mackenzie houses had prospered,CI,present,it,third,singular,modal,BNC,no,1.2,1.87379591,1.875,0.83452296,"2, 1, 3, 1, 2, 2, 3, 1"
3,BNC-1003,say,modal,"He patted her hand. If he had chosen to, Thomas might have told her in no uncertain terms what was wrong.",He might have said to her that some time in the middle of the nineteenth century a cult had grown up around the idea of the home.,some time in the middle of the nineteenth century a cult had grown up around the idea of the home,AB,present,he,third,singular,modal,BNC,no,-0.25,0.46291005,0.666666667,1.154700538,"2, 0, 1, 0, 0, 3, -1, 0, 1, 0, 0, 2"
4,BNC-1005,say,modal,"She could see his distorted image in the slanted glass of the car's windows, dim in the background, still lit by his instruments. She wondered how she could ever have thought that she loved him, and why she had stayed with him for so long after she 'd realised that if she ever had, she did not love him now.",Of course she could say it was for the children as people always did... It was true up to a point.,it was for the children,AB,future,she,third,singular,modal,BNC,no,0.636363636,1.120064933,0.875,0.991031209,"2, 1, 0, 1, -1, 1, 1, 2"
5,BNC-1006,say,modal,"She glanced around the room, laying her hot flushed face against the cool pillow, listening to the bang of a cupboard door below, the chinks of crockery. The room seemed empty without him, strange and unfriendly.",Robyn swallowed and took a deep breath trying to compose herself so that when he returned she could say that it was all right she felt fine now.,it was all right,AB,future,she,third,singular,modal,BNC,no,-1.090909091,1.044465936,0,2.309401077,"3, 1, -2, -3, -3, 3, 2, 1, -1, -1"
6,BNC-1010,say,modal,"In the clenched-to-cracking night We mouthed the hope, gave it a name: twenty-sixty-two still trembles in the flinching air and catches, bright rag on a bramble. At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye-muscles steer frantically through their dark when sounds of a high-revving motor are played to swelling, quizzically-smiling moms and wondered if there's anywhere on earth-Australasia or Amazonian forest-to find an unborn innocent of engines.",Then it was time to watch ``Tomorrow's World'' and I thought of Sheila with her firstborn encircling him with Mozart in the womb but waking him at three months ' old to be a witness to be held up towards the moon on television so one day he could say he 'd shared in man's first giant steps.,Sheila's firstborn had shared in man's first giant steps,AB,past,he,third,singular,modal,BNC,no,-0.555555556,1.810463415,1.875,0.83452296,"3, 2, 1, 1, 1, 2, 2, 3"
7,BNC-1012,say,modal,"Dynmouth was becoming a nasty kind of place.'' Poor Miss Poraway,'' Quentin said as they washed the tea dishes, and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything.",She wished she could say she was sorry now not in the middle of the night when he was asleep.,Lavinia was sorry now,AB,present,she,third,singular,modal,BNC,no,-1.090909091,1.136181804,0.888888889,1.96497102,"1, 2, -3, -1, 1, 2, 0, 3, 3"
8,BNC-1014,say,modal,Stan was running a business and needed funds to buy stock and time to work on new finds. The price proposed was on the open market and Stuttgart was happy to offer it.,Some might say that compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth.,compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth,EP,present,some,third,plural,modal,BNC,no,0.454545455,1.572490786,1.375,1.407885953,"1, 0, 0, 3, 0, 3, 1, 3"
9,BNC-1015,say,modal,It was a complex language. Not written down but handed down.,One might say it was peeled down.,the language was peeled down,CI,present,one,third,singular,modal,BNC,no,-0.636363636,1.501514387,2,0.707106781,"2, 1, 1, 2, 2, 2, 3, 2, 3"
10,BNC-1018,say,modal,"Some would say her hair is her finest feature, though Robyn herself secretly hankers after something more muted and malleable, hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir's, or allowed to fall to the shoulders in a Pre-Raphaelite cloud. As it is, there is not much she can do with her curls except, every now and again, crop them brutally short just to demonstrate how inadequately they represent her character.",Her face is comely enough to take short hair though perfectionists might say that the grey-green eyes are a little close-set and the nose and chin are a centimetre longer than Robyn herself would have wished.,the grey-green eyes are a little close-set,EP,present,perfectionist,third,plural,modal,BNC,no,-0.5,1.433720878,1.555555556,1.509230856,"2, 3, 2, 3, 0, 2, -1, 0, 3"
